Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD,CO2_Emissions_MT_Log,Total_Precipitation_mm_Log,Economic_Impact_Million_USD_Log,Temp_Precip_Ratio,Yield_Temp_Ratio,CO2_Temp_Ratio,EconomicImpact_per_CO2,Temp_Squared,Soil_Health_Squared,Climate_Efficiency,Yield_per_CO2,Weather_Region_Norm,Temperature_Binned,Precipitation_Binned,Climate_Zone,Country_Encoded,Region_Encoded,Crop_Type_Encoded,Adaptation_Strategies_Encoded,Temperature_Binned_Encoded,Precipitation_Binned_Encoded,Climate_Zone_Encoded,Cluster
2003,France,Ile-de-France,Cotton,27.89,1929.13,2.54,3.87,6,79.09,40.56,79.56,55.17,No Adaptation,1365.53,1.264126727145683,7.565342637143469,7.2200299590239565,3.686548162811399,0.1387594119756185,0.04532544736987031,5.711476392344239,777.8521000000001,3043.7289,0.07192849210557013,3.061401928221399,1.0,Very Hot,Extremely Wet,Very Hot-Extremely Wet,5,4,3,2,6,1,37,0
2012,France,Provence-Alpes-Cote d’Azur,Coffee,3.2,2121.73,2.71,2.44,5,67.6,5.22,70.83,94.74,Organic Farming,740.12,1.3110318766193438,7.660458275094421,6.608162555504521,0.41772957766819213,0.7625,0.4096974614435449,5.0404285916712235,10.240000000000002,8975.667599999999,0.35937654649743367,1.861129422948768,0.8805970149253731,Very Cold,Extremely Wet,Very Cold-Extremely Wet,5,19,1,3,5,1,31,0
2011,USA,West,Corn,15.76,2317.59,21.33,3.807,0,94.85,47.02,35.76,48.6,Drought-resistant Crops,1627.44,3.1059310658520665,7.748714521279532,7.395377780316326,2.0338857441088924,0.24156091370558375,0.19707684427995345,2.3810501983203265,248.3776,2361.96,0.10422935623021488,1.2257194120809005,0.0,Cold,Extremely Wet,Cold-Extremely Wet,9,31,2,1,0,1,1,0
2002,India,Punjab,Corn,9.97,2310.19,23.27,1.053,2,19.87,37.64,5.83,97.48,Water Management,285.96,3.18924101973851,7.7455178223860015,5.659342833224027,1.2871960569485525,0.10561685055165496,0.3198837532335516,1.774510862677931,99.40090000000001,9502.350400000001,0.045717819985219815,0.3301726001524766,0.35665634674922597,Very Cold,Extremely Wet,Very Cold-Extremely Wet,6,20,2,4,5,1,31,0
1991,China,East,Wheat,11.6,2439.05,9.86,4.63,6,27.81,38.14,54.45,94.62,Water Management,916.03,2.3850863145057892,7.7997738098805725,6.821140187097555,1.4872226147513905,0.41293103448275864,0.20561088918153356,2.859913348046255,134.56,8952.9444,0.16929994648849292,2.008313062243422,1.0117356392835084,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,2,9,4,5,1,31,0
2000,Nigeria,North West,Rice,6.26,1404.1,10.44,2.43,0,85.26,24.41,5.04,39.84,No Adaptation,966.48,2.437115985951652,7.247863753612294,6.874694752855646,0.8637027699203164,0.3881789137380192,0.3893156527079316,2.8208319967058095,39.187599999999996,1587.2256000000002,0.27646101683499696,0.9970801611442908,0.0,Very Cold,Very Wet,Very Cold-Very Wet,7,10,5,2,5,4,34,0
2019,USA,Northeast,Vegetables,24.62,1342.63,27.04,2.628,0,15.98,9.0,49.51,81.09,No Adaptation,548.31,3.333632062166389,7.203130185562702,6.308662945171033,3.4179584938428693,0.10674248578391551,0.1354034143853123,1.8924292865935826,606.1444,6575.588100000001,0.07950253292710241,0.7883293509878748,0.0,Warm,Wet,Warm-Wet,9,11,8,2,7,5,47,0
2008,Australia,Victoria,Coffee,20.94,2639.05,4.95,1.97,6,42.74,13.81,90.6,46.04,Crop Rotation,711.34,1.7833912195575383,7.878553135354953,6.56855532552161,2.6578484196586674,0.09407831900668576,0.08516672490723678,3.683182497192779,438.4836000000001,2119.6816,0.035648554974966655,1.1046370411584507,0.987783595113438,Mild,Extremely Wet,Mild-Extremely Wet,1,29,1,0,3,1,19,0
1996,Nigeria,South East,Wheat,23.0,1189.48,18.68,2.6910000000000003,9,11.15,39.42,77.79,88.18,Drought-resistant Crops,1201.22,2.9796028916241073,7.082111866121795,7.0919251266337096,3.247618850815319,0.117,0.1295479518097438,2.380157821221632,529.0,7775.712400000001,0.0983623095806571,0.9031404847822534,1.4285714285714286,Moderate,Wet,Moderate-Wet,7,25,9,1,4,5,29,0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,2.2159372862683733,7.248923614506971,6.490040448445056,4.024045713714417,0.06205005142269455,0.07596631080796618,2.928801500233001,850.8889000000001,5695.7209,0.04414519982547866,0.8168101196798897,0.9855481142051463,Very Hot,Very Wet,Very Hot-Very Wet,8,1,5,2,6,4,40,0
2006,Brazil,North,Cotton,26.73,1660.23,14.92,1.98,5,49.95,0.72,69.54,41.68,Drought-resistant Crops,910.87,2.767576180416237,7.415313570827821,6.815497436054341,3.604702585357554,0.07407407407407407,0.10353820353221986,2.4626232456695396,714.4929000000001,1737.2223999999999,0.04461675434974315,0.7154274610436243,0.8301647655259823,Hot,Very Wet,Hot-Very Wet,2,8,3,1,2,4,16,0
2009,China,East,Rice,21.37,636.48,15.22,0.8190000000000001,2,87.06,26.28,27.15,72.84,No Adaptation,152.23,2.7862450486872667,6.457522903991433,5.031940060590085,3.30931849839682,0.0383247543284979,0.13038114406585244,1.8059933611944405,456.67690000000005,5305.6656,0.060213603457293076,0.2939439947630845,0.3372452130945028,Moderate,Dry,Moderate-Dry,4,2,5,2,4,0,24,0
2012,Brazil,Northeast,Barley,-0.86,1303.28,10.19,1.07,2,31.78,37.84,51.63,56.8,Organic Farming,457.24,2.4150205223238337,7.1734064433630955,6.127393064332226,-0.11988725395529208,-1.244186046511628,-2.8081633980509695,2.537201240193269,0.7395999999999999,3226.24,-0.9546575152780892,0.44306041713070055,0.3290308466418727,Very Cold,Wet,Very Cold-Wet,2,11,0,3,5,5,35,1
1999,Australia,Victoria,Vegetables,11.75,1919.54,12.98,2.31,10,67.7,15.46,76.52,63.87,No Adaptation,904.02,2.637627736805664,7.56036167547846,6.807957042903251,1.5541584522484366,0.19659574468085106,0.22447895632388631,2.581090935579909,138.0625,4079.3768999999998,0.10241815470417447,0.8757869686332453,1.6463059918557301,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,29,8,2,5,1,31,0
2011,Nigeria,North Central,Soybeans,-2.44,586.46,2.03,0.95,7,81.72,3.22,28.51,41.01,Crop Rotation,133.48,1.1085626195212777,6.375808158594035,4.90141548910036,-0.38269658360267506,-0.38934426229508196,-0.45432894242675315,4.421415085434678,5.9536,1681.8201,-0.66388886248863,0.856965572599091,1.1963636363636363,Very Cold,Dry,Very Cold-Dry,7,9,6,0,5,0,30,0
2015,France,Nouvelle-Aquitaine,Cotton,18.52,780.09,10.09,2.19,7,34.62,47.72,28.42,38.21,Crop Rotation,1000.69,2.4060438013622756,6.660690380076227,6.909443852539037,2.780492553053945,0.11825053995680346,0.1299159719958032,2.871703270167811,342.99039999999997,1460.0041,0.15158576568960436,0.9102078685184559,1.172872340425532,Cool,Dry,Cool-Dry,5,14,3,0,1,0,6,0
2023,Canada,Quebec,Wheat,-2.61,710.57,4.03,2.48,10,67.09,17.28,11.43,64.99,Water Management,1077.38,1.6154199841116479,6.567473796386965,6.983215193991998,-0.3974130816381585,-0.9501915708812261,-0.618934859812892,4.3228480906977325,6.812099999999999,4223.700099999999,-1.337224440774626,1.5352044820491695,1.630049610205528,Very Cold,Dry,Very Cold-Dry,3,21,9,4,5,0,30,0
2013,Argentina,Pampas,Cotton,23.46,993.99,28.43,1.521,7,73.17,36.38,29.44,71.79,Organic Farming,464.95,3.382014562245381,6.902732686856832,6.144078332231665,3.398653991725492,0.06483375959079284,0.14416089353134617,1.8166918619512091,550.3716000000001,5153.804100000001,0.06522576644714015,0.44973194881519973,1.1816126601356443,Warm,Moderate,Warm-Moderate,0,16,3,3,7,2,44,0
2020,France,Ile-de-France,Coffee,16.75,2854.49,22.3,3.366,7,91.45,21.36,80.76,47.8,Water Management,1237.26,3.148453360571655,7.9569987360851275,7.121462447349325,2.105065057260655,0.20095522388059703,0.18796736481024806,2.26189231085078,280.5625,2284.8399999999997,0.07039969447452857,1.069096351291939,1.1666666666666667,Cold,Extremely Wet,Cold-Extremely Wet,5,4,1,4,0,1,1,0
2002,France,Nouvelle-Aquitaine,Vegetables,15.62,2348.64,4.1,3.95,8,17.76,30.24,92.96,99.3502,Organic Farming,1690.69,1.62924053973028,7.762017403913828,7.433483308250203,2.01236343429531,0.25288092189500644,0.10430477206980027,4.562545018356106,243.98439999999997,9870.462244,0.10767121478600657,2.4244424955531247,1.3404255319148937,Cold,Extremely Wet,Cold-Extremely Wet,5,14,8,3,0,1,1,0
2024,Brazil,Southeast,Rice,-0.91,916.1,12.26,0.56,1,31.21,16.7,70.48,78.33,Water Management,146.4,2.5847519847577165,6.821216517564898,4.993149979755236,-0.13340728851762945,-0.6153846153846154,-2.840386796437051,1.931771407546969,0.8281000000000001,6135.5889,-0.6717439312134215,0.21665521616863834,0.1738095238095238,Very Cold,Moderate,Very Cold-Moderate,2,27,5,4,5,2,32,1
1991,Brazil,North,Corn,10.88,2160.93,3.12,2.13,4,26.25,17.02,58.6,74.0,Water Management,818.6,1.415853163361435,7.678756620246686,6.708816416364745,1.4168960598793496,0.19577205882352938,0.1301335628089554,4.738356059774637,118.37440000000002,5476.0,0.09059620571861625,1.504393290998538,0.6641318124207858,Very Cold,Extremely Wet,Very Cold-Extremely Wet,2,8,2,4,5,1,31,0
2019,Australia,New South Wales,Wheat,16.22,1222.35,26.35,1.62,3,76.52,40.08,6.97,44.6,Drought-resistant Crops,698.98,3.3087165288679903,7.109348276265902,6.5510517632066625,2.281503081534128,0.09987669543773121,0.20398992163181198,1.9799374488717445,263.0884,1989.16,0.08170875398840857,0.48961583316847335,0.5142857142857143,Cold,Wet,Cold-Wet,1,7,9,1,0,5,5,0
2024,Argentina,Patagonia,Coffee,2.79,1944.52,20.71,0.8280000000000001,4,58.99,47.96,3.9,73.47,Water Management,226.98,3.0777729838902004,7.573284572505409,5.429257905808632,0.36840025926518255,0.29677419354838713,1.1031444386703226,1.7640215617677673,7.7841000000000005,5397.8409,0.15262079770245982,0.26902568978737224,0.6240601503759399,Very Cold,Extremely Wet,Very Cold-Extremely Wet,0,17,1,4,5,1,31,0
2016,Brazil,Northeast,Soybeans,32.37,1103.04,22.53,1.404,1,66.03,7.04,47.21,56.97,Water Management,366.94,3.158276202739271,7.006731458064739,5.907919881397637,4.619843102841078,0.043373493975903614,0.09756800132033584,1.8706153300567934,1047.8168999999998,3245.5809,0.03932177797351285,0.4445462999031773,0.16451542332093635,Very Hot,Wet,Very Hot-Wet,2,11,6,4,6,5,41,0
2017,China,South,Rice,1.05,2618.59,18.72,0.81,1,78.76,29.83,59.12,37.39,Water Management,116.26,2.9816333491744893,7.870773095959914,4.764393691536069,0.13340493839658107,0.7714285714285715,2.8396508087376087,1.5979140067155355,1.1025,1398.0121000000001,0.2945969286633537,0.27166318092875535,0.16924803591470258,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,24,5,4,5,1,31,0
2005,China,South,Corn,-3.75,1051.31,9.59,0.99,5,97.18,7.13,97.28,96.31,Crop Rotation,355.3,2.359910159613315,6.958743026695056,5.87577307261179,-0.5388904268506955,-0.264,-0.6293093758968841,2.489829135518688,14.0625,9275.616100000001,-0.25111527522804883,0.4195074952184693,0.8462401795735129,Very Cold,Moderate,Very Cold-Moderate,4,24,2,0,5,2,32,0
1993,USA,West,Rice,18.05,391.16,18.64,3.96,5,91.05,3.76,98.93010000000001,37.87,Crop Rotation,1009.71,2.97756830292632,5.971669919779803,6.918408333164449,3.0226051075283764,0.21939058171745152,0.16496223284910358,2.323509531709186,325.8025,1434.1368999999997,0.5608717192899363,1.3299443025733977,0.8163913595933927,Cool,Very Dry,Cool-Very Dry,9,31,5,0,1,3,9,0
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2.8814431271518632,7.9957514151870575,5.600346032706739,-0.04252258259983009,-4.209959302325581,-6.7632160081153705,1.9435906889622878,0.11560000000000002,4116.5055999999995,-1.5432820742979796,0.540354236156312,0.0,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,24,9,1,5,1,31,1
2010,Brazil,North,Vegetables,0.08,1662.53,13.85,2.22,10,77.04,15.94,92.54,85.24,Water Management,926.75,2.6979998652487085,7.41669712956102,6.832762299940707,0.010786472550043991,4.071044117647071,6.390798667365405,2.5325287773173573,0.0324,7265.857599999999,3.8187600637369914,0.8228317683015729,1.6603295310519646,Very Cold,Very Wet,Very Cold-Very Wet,2,8,8,4,5,4,34,2
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,2.7013612129514133,6.762475139323066,6.838115769898724,4.683196514223373,0.09535838332807073,0.085297164917948,2.531359278098036,1002.9889000000001,9733.7956,0.11039660947008582,1.1179548982642173,1.2084210526315788,Very Hot,Moderate,Very Hot-Moderate,8,23,9,0,6,2,38,0
1997,Argentina,Northwest,Soybeans,13.99,1063.82,0.77,3.07,0,59.77,19.44,22.5,81.96,Crop Rotation,1104.59,0.5709795465857378,6.9705610497745285,7.008134408109982,2.0070120468211843,0.2194424588992137,0.04000112851575573,10.988803646144989,195.7201,6717.441599999999,0.2062778091211048,4.431302517100311,0.0,Very Cold,Moderate,Very Cold-Moderate,0,12,6,0,5,2,32,0
2009,Russia,Central,Fruits,13.2,2713.36,3.4,4.31,1,67.18,24.77,34.96,64.71,Organic Farming,1217.9,1.4816045409242156,7.906311477139808,7.10570409166179,1.6695522353459364,0.3265151515151515,0.11224276825183452,4.79595188553438,174.23999999999998,4187.384099999999,0.12033609676384684,2.9090083628600714,0.16425801903419104,Very Cold,Extremely Wet,Very Cold-Extremely Wet,8,1,4,3,5,1,31,0
2016,Nigeria,South East,Barley,15.75,2128.68,20.97,3.483,1,79.63,37.27,16.96,62.68,Water Management,1310.99,3.089677886396519,7.663727012675317,7.179300347523768,2.0551358332506497,0.22114285714285714,0.1961700245331123,2.3236403960210112,248.0625,3928.7824,0.10388731849919064,1.1273019803569917,0.15873015873015872,Cold,Extremely Wet,Cold-Extremely Wet,7,25,0,4,0,1,1,0
2011,Australia,Western Australia,Soybeans,1.57,798.14,5.14,2.36,9,51.48,14.31,91.02,32.42,Organic Farming,987.4,1.814824742159051,6.683536149440994,6.896087474114455,0.23490558963032074,1.503184713375796,1.155939326215956,3.7998641488160194,2.4649,1051.0564000000002,1.8833597030292881,1.3004010498514404,1.4591009579955785,Very Cold,Dry,Very Cold-Dry,1,33,6,3,5,0,30,0
2004,Nigeria,North West,Corn,32.28,1836.63,11.44,3.42,1,37.67,16.76,29.79,35.55,Water Management,696.8,2.5209170873110334,7.516231976883769,6.547932528752674,4.294705126089428,0.10594795539033457,0.07809532488571974,2.5974406543204105,1041.9984000000002,1263.8024999999998,0.05768606381815312,1.3566491405903334,0.16127061698228465,Very Hot,Extremely Wet,Very Hot-Extremely Wet,7,10,2,4,6,1,37,0
1998,India,Punjab,Soybeans,12.14,1507.9,1.55,4.63,0,97.69,8.28,56.73,89.16,Organic Farming,1163.98,0.9360933591703348,7.3191361875196055,7.060459198470466,1.6586656797971326,0.3945634266886326,0.07710818444566184,7.54247333271138,147.3796,7949.5055999999995,0.2616641864106589,4.431302517100311,0.0,Very Cold,Very Wet,Very Cold-Very Wet,6,20,6,3,5,4,34,0
2009,Russia,Northwestern,Wheat,-2.0,2280.09,12.7,1.81,8,93.41,8.64,85.61,48.73,Organic Farming,692.13,2.617395832834079,7.732408677884787,6.541217571784654,-0.2586516159861203,-0.905,-1.3086979164170396,2.499131957699312,4.0,2374.6128999999996,-0.39691415689731546,0.6915270427553778,1.396923076923077,Very Cold,Extremely Wet,Very Cold-Extremely Wet,8,13,9,3,5,1,31,0
1990,Canada,Quebec,Corn,15.3,739.72,5.03,3.27,8,13.92,5.8,9.44,44.82,Crop Rotation,1159.41,1.7967470107390942,6.607622686139791,7.056528669928145,2.315507517112534,0.21372549019607842,0.11743444514634602,3.9273913510090845,234.09000000000003,2008.8324,0.28892755393402697,1.8199557202295729,1.3040396881644223,Cold,Dry,Cold-Dry,3,21,2,0,0,0,0,0
2020,India,West Bengal,Sugarcane,18.74,309.92,20.51,3.042,9,76.58,48.2,73.87,55.53,No Adaptation,1228.61,3.068517943279639,5.739535644362019,7.114452324917405,3.2650725008404495,0.1623265741728922,0.1637416191718057,2.3185304620749463,351.1875999999999,3083.5809,0.5237692765000393,0.9913580615235716,1.5325255102040816,Cool,Very Dry,Cool-Very Dry,6,32,7,2,1,3,9,0
1992,Canada,Prairies,Wheat,29.66,1021.58,18.34,1.242,2,17.03,35.39,93.24,64.24,No Adaptation,291.15,2.9621754900251482,6.9300841244652,5.677267369000446,4.279890325615475,0.0418745785569791,0.09987105495701781,1.916587112451007,879.7156,4126.777599999999,0.040990014053700244,0.41928643464316007,0.3201581027667984,Very Hot,Moderate,Very Hot-Moderate,3,18,9,2,6,2,38,0
2009,France,Ile-de-France,Rice,20.82,1797.23,12.36,1.89,8,65.4,26.85,9.25,34.94,No Adaptation,927.92,2.5922651681085,7.4945581267615236,6.834022621004622,2.778015681225564,0.09077809798270893,0.12450841345381844,2.6363130998636257,433.4724,1220.8035999999997,0.05051000594398542,0.7290920787162671,1.3333333333333333,Mild,Extremely Wet,Mild-Extremely Wet,5,4,5,2,3,1,19,0
2003,Canada,Ontario,Vegetables,8.74,1441.35,0.86,1.23,5,66.34,29.28,96.7,30.68,No Adaptation,488.8,0.6205764877251099,7.27402900684014,6.193997144518067,1.201534939135015,0.14073226544622425,0.07100417479692332,9.981037417682115,76.3876,941.2624,0.09763920314026729,1.982028040586739,0.8369632856253889,Very Cold,Very Wet,Very Cold-Very Wet,3,15,8,2,5,4,34,0
1995,Nigeria,North Central,Fruits,18.36,1185.54,14.99,3.35,2,50.59,46.13,75.53,58.97,Crop Rotation,1152.48,2.771963526845863,7.078796787907645,7.0505387389286005,2.5936611192686687,0.18246187363834424,0.15097840560162654,2.5435178604067725,337.08959999999996,3477.4609,0.15390613023461397,1.208529609988003,0.3418181818181818,Cool,Wet,Cool-Wet,7,9,4,0,1,5,11,0
2017,Argentina,Northeast,Coffee,-0.53,2177.52,12.07,1.32,9,14.68,19.33,95.18,66.59,Organic Farming,238.24,2.570319527636131,7.686401026144228,5.477467232176356,-0.0689529466648017,-2.490566037735849,-4.849659486105907,2.1310452546006484,0.28090000000000004,4434.2281,-1.143762646375624,0.5135548268638711,1.480638809888427,Very Cold,Extremely Wet,Very Cold-Extremely Wet,0,11,1,3,5,1,31,1
1995,Argentina,Northwest,Corn,16.05,915.89,1.41,3.72,2,89.41,37.29,66.26,35.06,Drought-resistant Crops,661.98,0.8796267475025636,6.8209875086816245,6.496744823818343,2.3530317244492625,0.23177570093457944,0.05480540482882016,7.385797262604737,257.6025,1229.2036,0.2530606305719895,4.229066488214262,0.3256427158866183,Cold,Moderate,Cold-Moderate,0,12,2,1,0,2,2,0
2018,Nigeria,South East,Soybeans,4.57,494.92,16.8,2.043,6,75.74,39.31,45.94,77.74,Crop Rotation,397.3,2.8791984572980396,6.206414623393664,5.987205490187598,0.7363349497750968,0.4470459518599562,0.6300215442665295,2.0794695395211633,20.884900000000002,6043.507599999999,0.9032691179583696,0.7095724835575373,0.9523809523809524,Very Cold,Very Dry,Very Cold-Very Dry,7,25,6,0,5,3,33,0
2002,France,Grand Est,Fruits,14.59,1814.94,2.87,3.37,6,47.34,30.39,62.65,69.62,No Adaptation,373.61,1.3532545070416904,7.50435851896784,5.925885484795163,1.9442034869632974,0.23098012337217272,0.09275219376570873,4.378988175512946,212.8681,4846.9444,0.12726598310256687,2.490292832918072,1.0532135452660678,Very Cold,Extremely Wet,Very Cold-Extremely Wet,5,3,4,2,5,1,31,0
2014,Australia,Queensland,Rice,9.68,2510.94,25.0,1.908,8,49.68,31.24,30.4,81.83,Water Management,393.55,3.258096538021482,7.828810641952511,5.977745874967044,1.236458568575852,0.1971074380165289,0.33658022086998785,1.8347356516934583,93.7024,6696.1489,0.0784994615628127,0.5856180066286972,1.3159947984395317,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,22,5,4,5,1,31,0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2.2925347571405443,5.493637409127648,6.616118731222627,0.8409728665972559,0.3409090909090909,0.4962196444027152,2.885940424944678,21.3444,1375.6681000000003,1.4079007636453744,0.6870124848028397,0.49809885931558934,Very Cold,Very Dry,Very Cold-Very Dry,4,8,9,3,5,3,33,0
2019,Australia,New South Wales,Rice,4.53,2513.56,25.76,0.99,2,90.53,30.61,37.22,30.96,Drought-resistant Crops,299.48,3.286908235260028,7.82985311693004,5.705381196019898,0.5785549144217077,0.21854304635761587,0.7255868069006683,1.7357896198062082,20.5209,958.5216,0.08694562547049439,0.3011949008432482,0.34285714285714286,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,7,5,1,5,1,31,0
2008,Canada,Quebec,Wheat,5.77,1034.34,1.97,0.61,10,98.87,27.45,45.05,57.56,Water Management,150.37,1.0885619528146082,6.942485154169823,5.019727170774474,0.8311144888130441,0.10571923743500868,0.18865891729889225,4.61133806651552,33.292899999999996,3313.1536,0.10220936774659074,0.5603723319768539,1.630049610205528,Very Cold,Moderate,Very Cold-Moderate,3,21,9,4,5,2,32,0
1993,Nigeria,South West,Fruits,32.78,854.02,7.27,2.86,9,98.03,18.45,94.22,83.3,Organic Farming,315.03,2.1126345090356,6.751124860476041,5.7558371457895685,4.855487148802132,0.087248322147651,0.06444888679181207,2.7244831612719707,1074.5284000000001,6938.889999999999,0.10216191909750474,1.3537599560018387,1.5235109717868338,Very Hot,Moderate,Very Hot-Moderate,7,26,4,3,6,2,38,0
2022,Canada,Ontario,Fruits,-0.51,2093.27,11.29,2.88,3,55.19,14.16,54.89,34.4,No Adaptation,1323.92,2.5087859235779435,7.646960322946537,7.1891073592390455,-0.06669316675668145,-4.209959302325581,-4.919188085446948,2.8655722641277377,0.2601,1183.36,-2.697721184333321,1.1479656247005101,0.5021779713752333,Very Cold,Extremely Wet,Very Cold-Extremely Wet,3,15,4,2,5,1,31,1
1997,USA,South,Coffee,34.07,1965.45,20.34,2.853,9,49.77,29.93,1.19,49.98,Drought-resistant Crops,642.36,3.060583245873607,7.583985165665071,6.466704443148964,4.492361107751753,0.08373936014088641,0.08983220563174661,2.1128993801647504,1160.7649000000001,2498.0004,0.04260569342434883,0.9321752655630333,1.5232323232323233,Very Hot,Extremely Wet,Very Hot-Extremely Wet,9,24,1,1,6,1,37,0
